sessdef,scope,measure,n_trig,n_opp,trig,opp,diff,ci_lo,ci_hi,p
BROKER,opens INSIDE Fri range,mfe_down_atr,351,457,0.5401765455044555,0.3804680149998516,0.15970853050460387,0.07327529976874045,0.2523842280755843,0.0
BROKER,opens INSIDE Fri range,mfe_up_atr,351,457,0.5201251779655098,0.4210608636992675,0.09906431426624235,0.032878791515295644,0.16928344345719906,0.005333333333333333
BROKER,opens INSIDE Fri range,first_move_dn,351,457,0.4301994301994302,0.4135667396061269,0.0166326905933033,-0.06436227483512703,0.09811471909239997,0.7013333333333334
BROKER,opens INSIDE Fri range,or15_dn,351,457,0.4188034188034188,0.487964989059081,-0.06916157025566216,-0.15439495302984144,0.014212616058520039,0.108
BROKER,opens INSIDE Fri range,or30_dn,351,457,0.38746438746438744,0.487964989059081,-0.10050060159469354,-0.1788032695342017,-0.013356355563938166,0.02
BROKER,opens INSIDE Fri range,dir60_up,351,457,0.5555555555555556,0.4814004376367615,0.07415511791879409,-0.0051584912066449,0.15795781982302268,0.072
BROKER,opens INSIDE Fri range,pen_after_Blow_atr,160,122,0.5757292069132024,0.3967695334411838,0.17895967347201858,0.03934994838166026,0.33411479047883197,0.010666666666666666
BROKER,opens INSIDE Fri range,bounce_after_Blow_atr,160,122,0.43711832220675684,0.37318176972434913,0.0639365524824077,-0.025611043554774955,0.15592226983010674,0.16133333333333333
BROKER,opens INSIDE Fri range,mae_before_Blow_atr,160,122,0.1851279773895272,0.1462197412920708,0.03890823609745639,-0.015197255907130072,0.0891059312390058,0.156
BROKER,opens ABOVE Fri range,touch_Blow,53,98,0.09433962264150944,0.07142857142857142,0.022911051212938016,-0.062483383551931934,0.11378272900069115,0.6626666666666666
BROKER,opens ABOVE Fri range,seq_low_first,53,98,0.0,0.0,0.0,0.0,0.0,2.0
BROKER,opens ABOVE Fri range,Blow_by30,53,98,0.0,0.0,0.0,0.0,0.0,2.0
BROKER,opens ABOVE Fri range,Blow_by60,53,98,0.0,0.0,0.0,0.0,0.0,2.0
BROKER,opens ABOVE Fri range,net30_atr,53,98,-0.019479988841722667,-0.034068483757535635,0.014588494915812968,-0.027403785786900184,0.05718296467431221,0.512
BROKER,opens ABOVE Fri range,net60_atr,53,98,-0.01989038215629954,-0.02684925015209032,0.00695886799579078,-0.044063593206045526,0.061161552145567157,0.7586666666666667
BROKER,opens ABOVE Fri range,ret_close_atr,53,98,0.033202325367889245,0.08868403511573161,-0.05548170974784237,-0.28114140266052495,0.17711890569803465,0.652
BROKER,opens ABOVE Fri range,mfe_down_atr,53,98,0.4099260030273956,0.3441834599103891,0.0657425431170065,-0.08681146473360307,0.2241100495936561,0.41733333333333333
BROKER,opens ABOVE Fri range,mfe_up_atr,53,98,0.47815036491408647,0.4037530894988614,0.07439727541522506,-0.059887751910986435,0.21271868619338316,0.2786666666666667
BROKER,opens ABOVE Fri range,first_move_dn,53,98,0.39622641509433965,0.2857142857142857,0.11051212938005395,-0.0477940563383895,0.27422357549880244,0.164
BROKER,opens ABOVE Fri range,or15_dn,53,98,0.5849056603773585,0.47959183673469385,0.10531382364266462,-0.08973641472938944,0.2994227846621464,0.268
BROKER,opens ABOVE Fri range,or30_dn,53,98,0.6415094339622641,0.5,0.14150943396226412,-0.056595834209972606,0.3247837185130839,0.16
BROKER,opens ABOVE Fri range,dir60_up,53,98,0.4528301886792453,0.47959183673469385,-0.02676164805544856,-0.2136274180096317,0.15591397849462363,0.7893333333333333
BROKER,opens BELOW Fri range (gap already through),touch_Blow,71,46,1.0,1.0,0.0,0.0,0.0,2.0
BROKER,opens BELOW Fri range (gap already through),seq_low_first,71,46,1.0,1.0,0.0,0.0,0.0,2.0
BROKER,opens BELOW Fri range (gap already through),Blow_by30,71,46,1.0,1.0,0.0,0.0,0.0,2.0
BROKER,opens BELOW Fri range (gap already through),Blow_by60,71,46,1.0,1.0,0.0,0.0,0.0,2.0
BROKER,opens BELOW Fri range (gap already through),net30_atr,71,46,0.014083247263536606,0.045405051200920477,-0.031321803937383874,-0.1365525353721274,0.07235015999638258,0.5493333333333333
BROKER,opens BELOW Fri range (gap already through),net60_atr,71,46,0.009089501010868119,0.02918343293819237,-0.02009393192732425,-0.13552614438022462,0.09469329405195276,0.744
BROKER,opens BELOW Fri range (gap already through),ret_close_atr,71,46,0.13658309474352687,0.40406278164691894,-0.2674796869033921,-0.6848431571468532,0.14397873331304986,0.208
BROKER,opens BELOW Fri range (gap already through),mfe_down_atr,71,46,0.7012012496249771,0.37094067518335133,0.33026057444162576,0.02219872338676052,0.625810792188979,0.04133333333333333
BROKER,opens BELOW Fri range (gap already through),mfe_up_atr,71,46,0.7839574820030906,0.7128868076086917,0.07107067439439885,-0.18136172499416464,0.34209284690702585,0.6346666666666667
BROKER,opens BELOW Fri range (gap already through),first_move_dn,71,46,0.5070422535211268,0.32608695652173914,0.18095529699938762,-0.061375334224598926,0.407375,0.11866666666666667
BROKER,opens BELOW Fri range (gap already through),or15_dn,71,46,0.5492957746478874,0.5,0.04929577464788737,-0.1752956891809542,0.2727762459150326,0.6773333333333333
BROKER,opens BELOW Fri range (gap already through),or30_dn,71,46,0.5633802816901409,0.43478260869565216,0.1285976729944887,-0.08141360602045157,0.343063725490196,0.24666666666666667
BROKER,opens BELOW Fri range (gap already through),dir60_up,71,46,0.5070422535211268,0.5869565217391305,-0.07991426821800374,-0.29420763060468946,0.14622297637003498,0.47733333333333333
BROKER,opens BELOW Fri range (gap already through),pen_after_Blow_atr,71,46,0.9401330165196887,0.6300930690450945,0.3100399474745942,-0.03788348805804647,0.6517678090102362,0.08
BROKER,opens BELOW Fri range (gap already through),bounce_after_Blow_atr,71,46,0.5450257151083789,0.4537344137469485,0.09129130136143043,-0.1489601500546118,0.34645667377464434,0.472
BROKER,opens BELOW Fri range (gap already through),mae_before_Blow_atr,71,46,0.048180598903173506,0.05174674372760881,-0.003566144824435305,-0.03128575057769754,0.020663439539371643,0.7666666666666667
