sessdef,variable,outcome,n,model,coef_std,ci_lo,ci_hi,p_cluster,bh_rank,bh_crit,survives_BH05
BROKER,B_bear,seq_low_first,475,logit,0.1032327277523934,-0.2782275941022603,0.4440181274794237,0.5933333333333334,60.0,0.03571428571428571,False
BROKER,B_bear,dn60_atr,475,ols,0.012293961982593025,-0.00515743952450514,0.029523737692010003,0.16333333333333333,20.0,0.011904761904761904,False
BROKER,B_bear,net60_atr,475,ols,0.015402342251636744,-0.012697481138053173,0.045560013267776346,0.25,33.0,0.019642857142857146,False
BROKER,B_bear,ret_close_atr,475,ols,-0.07728235456247026,-0.1917388167143892,0.0300851282751929,0.17,21.0,0.0125,False
BROKER,B_bear,mfe_down_atr,475,ols,0.03474634726351881,-0.0426176860094298,0.10552534061317334,0.3466666666666667,40.0,0.023809523809523808,False
BROKER,B_inside,touch_Blow,475,logit,0.03249661175257814,-0.22389004801289214,0.2961647986960852,0.82,75.0,0.044642857142857144,False
BROKER,B_inside,seq_low_first,475,logit,-0.03843414334061346,-0.3353405130627501,0.21467368796141298,0.7466666666666667,68.0,0.04047619047619048,False
BROKER,B_inside,dn60_atr,475,ols,-0.004063133816108578,-0.01547519002432597,0.008268134874009597,0.5433333333333333,51.0,0.03035714285714286,False
BROKER,B_inside,net60_atr,475,ols,-0.00847936079880442,-0.029387422026314815,0.012592514531690514,0.41,45.0,0.026785714285714284,False
BROKER,B_inside,ret_close_atr,475,ols,-0.02134290752725171,-0.09523716113275695,0.05261048309352092,0.6166666666666667,63.0,0.037500000000000006,False
BROKER,B_inside,mfe_down_atr,475,ols,-0.007805275088774183,-0.06025458591348374,0.03920972191393165,0.7866666666666666,74.0,0.04404761904761905,False
BROKER,B_took_Alow,touch_Blow,475,logit,-0.03249661175257808,-0.3165458851543839,0.20165028126496434,0.76,69.0,0.04107142857142857,False
BROKER,B_took_Alow,seq_low_first,475,logit,0.038434143340613465,-0.27770849263429764,0.32187058645845523,0.83,77.0,0.04583333333333334,False
BROKER,B_took_Alow,dn60_atr,475,ols,0.0040631338161085705,-0.008630558588379215,0.017472065596022053,0.49666666666666665,49.0,0.029166666666666667,False
BROKER,B_took_Alow,net60_atr,475,ols,0.008479360798804418,-0.011743941085661782,0.027845139121155948,0.38666666666666666,42.0,0.025,False
BROKER,B_took_Alow,ret_close_atr,475,ols,0.0213429075272517,-0.05122198638353761,0.09629053023951119,0.4866666666666667,48.0,0.028571428571428574,False
BROKER,B_took_Alow,mfe_down_atr,475,ols,0.007805275088774159,-0.04478469575622497,0.05762774507997878,0.7666666666666667,71.0,0.042261904761904764,False
BROKER,B_below_Aclose,touch_Blow,475,logit,0.07434717106994271,-0.22560731196670591,0.34188020202024316,0.5866666666666667,58.0,0.034523809523809526,False
