dataset,asset_group,session_def,period,scope,n_eligible,n_trigger,touches,hit_rate,ci95_lo,ci95_hi,base_rate_all,opposite_rate,uplift_vs_opposite,uplift_ci_lo,uplift_ci_hi,fisher_p,cohens_h,logit_beta_controlled,logit_z_controlled
Dukascopy_1m,COMMOD,UTC,2018,Fri->Mon,153,92,40,0.43478260869565216,0.33811568850921186,0.536677536180217,0.40522875816993464,0.36065573770491804,0.07412687099073412,-0.08422708829399222,0.22327435250734196,0.40288066526195837,0.15162076454558493,-0.5028110866736248,-1.1849372638066265
Dukascopy_1m,COMMOD,UTC,2019,Fri->Mon,153,83,37,0.4457831325301205,0.343613029268308,0.552749835632629,0.40522875816993464,0.35714285714285715,0.08864027538726332,-0.06667057004919363,0.23651934185067008,0.32190566684760424,0.18110434254655727,-0.5403474317395908,-1.3347813121614613
Dukascopy_1m,COMMOD,UTC,2020,Fri->Mon,150,77,37,0.4805194805194805,0.3725303790298501,0.590359949227907,0.42,0.3561643835616438,0.1243550969578367,-0.03303627172210344,0.27297817254364665,0.13859088871957276,0.25282349348348165,0.14387386145484857,0.3966776256917339
Dukascopy_1m,COMMOD,UTC,2021,Fri->Mon,150,68,34,0.5,0.38438064984606757,0.6156193501539324,0.4,0.3170731707317073,0.18292682926829268,0.02541721124500443,0.3298105851021936,0.029523728651474006,0.37454988712607773,0.2621013341411221,0.6182421196890914
Dukascopy_1m,COMMOD,UTC,2022,Fri->Mon,147,79,41,0.5189873417721519,0.4105110559940594,0.6257026954621209,0.4421768707482993,0.35294117647058826,0.16604616530156363,0.005283866052916558,0.31430601441809264,0.0475139548149696,0.3365160177241644,0.43733203072870064,1.2033679727741011
Dukascopy_1m,COMMOD,UTC,2023,Fri->Mon,147,58,28,0.4827586206896552,0.3592818542405501,0.6083773821659054,0.40816326530612246,0.3595505617977528,0.1232080588919024,-0.037970420261597776,0.2788970110236194,0.170049151111189,0.25024097086048536,-0.21010410988583672,-0.4725396281813112
Dukascopy_1m,COMMOD,UTC,2024,Fri->Mon,153,57,33,0.5789473684210527,0.44980141395599427,0.6981240331724827,0.477124183006536,0.4166666666666667,0.16228070175438597,-0.001033136182439165,0.3137893730945551,0.06572060580473742,0.32600635985738924,0.15122111155422066,0.3984494454716104
Dukascopy_1m,COMMOD,UTC,2025,Fri->Mon,153,75,37,0.49333333333333335,0.38330010247790747,0.6040162154218635,0.43137254901960786,0.3717948717948718,0.12153846153846154,-0.034682286349902336,0.269942816600335,0.1441049877541683,0.24597272784610702,0.18704730314381735,0.5295350488631715
Dukascopy_1m,COMMOD,UTC,2026,Fri->Mon,108,68,28,0.4117647058823529,0.302580197505184,0.5303853324689461,0.37962962962962965,0.325,0.08676470588235291,-0.1026852219974666,0.25847758115691366,0.41622296861703445,0.18017149920513953,-0.49024273066479096,-0.9592713079678314
Dukascopy_1m,FX,UTC,2016,Fri->Mon,312,157,80,0.5095541401273885,0.4320682692895529,0.5865836381352884,0.4198717948717949,0.32903225806451614,0.1805218820628724,0.07105674144897206,0.28397079776279777,0.0013455732385895662,0.36808520243461706,0.1449336104637684,0.5438236257517431
Dukascopy_1m,FX,UTC,2017,Fri->Mon,306,163,58,0.3558282208588957,0.2864250093616944,0.4318704291209475,0.3660130718954248,0.3776223776223776,-0.021794156763481898,-0.12897692315549938,0.08520487343446977,0.7221685682251855,-0.045229218171042085,-0.40879574634141674,-1.4877097674494901
Dukascopy_1m,FX,UTC,2018,Fri->Mon,312,171,79,0.4619883040935672,0.38891997042277004,0.5367269551537779,0.4326923076923077,0.3971631205673759,0.06482518352619132,-0.045350889870945627,0.17213681200703124,0.2539710770973254,0.13105532244668994,-0.21638502831904433,-0.8129029610716394
Dukascopy_1m,FX,UTC,2019,Fri->Mon,312,164,87,0.5304878048780488,0.4542845926725055,0.605295442381188,0.4391025641025641,0.33783783783783783,0.19264996704021098,0.08256689323588529,0.2959512911810623,0.0008932343492611607,0.39131081275055957,-0.09654371564451808,-0.33655555357116695
Dukascopy_1m,FX,UTC,2020,Fri->Mon,311,176,86,0.48863636363636365,0.41582183172144493,0.5619363558164572,0.4437299035369775,0.3851851851851852,0.10345117845117846,-0.007855031644485769,0.2103654040856125,0.08404367242434449,0.20896789693455586,0.038540200568402384,0.15038264932520662
Dukascopy_1m,FX,UTC,2021,Fri->Mon,312,163,80,0.49079754601226994,0.4151526790080117,0.5668661787674761,0.4230769230769231,0.348993288590604,0.1418042574216659,0.03209755167828282,0.24645225735027482,0.011946256955797218,0.2883980499309158,-0.1911469933589868,-0.6548686718840508
Dukascopy_1m,FX,UTC,2022,Fri->Mon,312,173,89,0.5144508670520231,0.4404741037896836,0.5877998090887986,0.40064102564102566,0.2589928057553957,0.25545806129662746,0.14750968007719711,0.353897099537865,5.240243211066596e-06,0.5318581231895501,0.5888068617314521,2.1616608338984378
